geometry_msgs.msg.Point(x=-1.7264652591922776, y=0.5761313392336049, z=0.0)
geometry_msgs.msg.Point(x=-1.751462970746413, y=0.5764670325979822, z=0.0)
geometry_msgs.msg.Point(x=-1.7764599193610842, y=0.5768729163930928, z=0.0)
geometry_msgs.msg.Point(x=-1.8014561050362907, y=0.5773070289483897, z=0.0)
geometry_msgs.msg.Point(x=-1.8264515277720328, y=0.5777747108401243, z=0.0)
geometry_msgs.msg.Point(x=-1.851447331977507, y=0.5782469703686459, z=0.0)
geometry_msgs.msg.Point(x=-1.8764427547132492, y=0.578724570473419, z=0.0)
geometry_msgs.msg.Point(x=-1.9014385589187235, y=0.5791853859099731, z=0.0)
geometry_msgs.msg.Point(x=-1.92643474459393, y=0.5796263649204505, z=0.0)
geometry_msgs.msg.Point(x=-1.9514313117388689, y=0.5800276710787742, z=0.0)
geometry_msgs.msg.Point(x=-1.9764290232930044, y=0.5803786232324413, z=0.0)
geometry_msgs.msg.Point(x=-2.0014274977866044, y=0.580656333197517, z=0.0)
geometry_msgs.msg.Point(x=-2.026426735219669, y=0.5808379127900665, z=0.0)
geometry_msgs.msg.Point(x=-2.051426735592198, y=0.580889792673652, z=0.0)
geometry_msgs.msg.Point(x=-2.076426354494995, y=0.5807646706014751, z=0.0)
geometry_msgs.msg.Point(x=-2.101423303109666, y=0.5803702308983318, z=0.0)
geometry_msgs.msg.Point(x=-2.1264133852691565, y=0.5796721412883201, z=0.0)
geometry_msgs.msg.Point(x=-2.1514069006562373, y=0.5790930702347694, z=0.0)
geometry_msgs.msg.Point(x=-2.176403086331444, y=0.5786711647109044, z=0.0)
geometry_msgs.msg.Point(x=-2.201401560825044, y=0.5783987953220802, z=0.0)
geometry_msgs.msg.Point(x=-2.226401561197573, y=0.5783194496177728, z=0.0)
geometry_msgs.msg.Point(x=-2.2514011801003697, y=0.5784277870217309, z=0.0)
geometry_msgs.msg.Point(x=-2.2763988916545053, y=0.5787810279937915, z=0.0)
geometry_msgs.msg.Point(x=-2.301390881162657, y=0.5794104530519988, z=0.0)
geometry_msgs.msg.Point(x=-2.3263710451091093, y=0.5804022743558406, z=0.0)
