geometry_msgs.msg.Point(x=-1.5176216434093668, y=-0.9776414195151162, z=0.0)
geometry_msgs.msg.Point(x=-1.5384380652283447, y=-0.9914864819772831, z=0.0)
geometry_msgs.msg.Point(x=-1.5592563943959838, y=-1.005328492681592, z=0.0)
geometry_msgs.msg.Point(x=-1.5800781567912132, y=-1.0191651628096494, z=0.0)
geometry_msgs.msg.Point(x=-1.6009014450653716, y=-1.0329995441193134, z=0.0)
geometry_msgs.msg.Point(x=-1.6217251148092622, y=-1.0468331624895129, z=0.0)
geometry_msgs.msg.Point(x=-1.6425510733715463, y=-1.0606637291018544, z=0.0)
geometry_msgs.msg.Point(x=-1.663379702221956, y=-1.074489718077409, z=0.0)
geometry_msgs.msg.Point(x=-1.6842094754815626, y=-1.088314944113499, z=0.0)
geometry_msgs.msg.Point(x=-1.705038867271437, y=-1.102140170149589, z=0.0)
geometry_msgs.msg.Point(x=-1.7258716922889015, y=-1.1159600556094276, z=0.0)
geometry_msgs.msg.Point(x=-1.7467056617155627, y=-1.1297784151903372, z=0.0)
geometry_msgs.msg.Point(x=-1.7675400126119563, y=-1.1435960118317823, z=0.0)
geometry_msgs.msg.Point(x=-1.7883755079175465, y=-1.1574120825942984, z=0.0)
geometry_msgs.msg.Point(x=-1.809212910571798, y=-1.1712251015989565, z=0.0)
geometry_msgs.msg.Point(x=-1.8300518391049785, y=-1.1850358317852212, z=0.0)
geometry_msgs.msg.Point(x=-1.850890767638159, y=-1.1988465619714859, z=0.0)
geometry_msgs.msg.Point(x=-1.8717323664594652, y=-1.212653477460428, z=0.0)
geometry_msgs.msg.Point(x=-1.8925762540991649, y=-1.2264573411915123, z=0.0)
geometry_msgs.msg.Point(x=-1.913420904678329, y=-1.2402596790436675, z=0.0)
geometry_msgs.msg.Point(x=-1.93426669966669, y=-1.2540597280774293, z=0.0)
geometry_msgs.msg.Point(x=-1.9551155464129089, y=-1.2678559624138686, z=0.0)
geometry_msgs.msg.Point(x=-1.9759659190380567, y=-1.2816491449924499, z=0.0)
geometry_msgs.msg.Point(x=-1.9968174360724014, y=-1.2954408016921022, z=0.0)
geometry_msgs.msg.Point(x=-2.0176708604554072, y=-1.3092294066338965, z=0.0)
geometry_msgs.msg.Point(x=-2.038526955126539, y=-1.323014959817833, z=0.0)
geometry_msgs.msg.Point(x=-2.059384194206867, y=-1.3367974612439113, z=0.0)
geometry_msgs.msg.Point(x=-2.080242577696392, y=-1.3505791997305252, z=0.0)
geometry_msgs.msg.Point(x=-2.1011032500043108, y=-1.3643571235198166, z=0.0)
geometry_msgs.msg.Point(x=-2.121966211130623, y=-1.37813199555125, z=0.0)
geometry_msgs.msg.Point(x=-2.1428303166661316, y=-1.39190457876429, z=0.0)
geometry_msgs.msg.Point(x=-2.163695566610837, y=-1.405675636098401, z=0.0)
geometry_msgs.msg.Point(x=-2.184563105373936, y=-1.4194428787351896, z=0.0)
geometry_msgs.msg.Point(x=-2.205432170015964, y=-1.4332085954930491, z=0.0)
geometry_msgs.msg.Point(x=-2.2263019975974565, y=-1.4469727863719797, z=0.0)
geometry_msgs.msg.Point(x=-2.24717373252761, y=-1.4607339254930523, z=0.0)
geometry_msgs.msg.Point(x=-2.268047374806425, y=-1.4744920128562669, z=0.0)
geometry_msgs.msg.Point(x=-2.288922161494437, y=-1.4882485743405525, z=0.0)
geometry_msgs.msg.Point(x=-2.3097973296521808, y=-1.5020043728853736, z=0.0)
geometry_msgs.msg.Point(x=-2.3306751680980504, y=-1.5157563567328722, z=0.0)
geometry_msgs.msg.Point(x=-2.351554150953117, y=-1.529506814701442, z=0.0)
geometry_msgs.msg.Point(x=-2.3724338967476477, y=-1.5432557467910826, z=0.0)
geometry_msgs.msg.Point(x=-2.3933151684211076, y=-1.5570023900623298, z=0.0)
geometry_msgs.msg.Point(x=-2.4141979659734965, y=-1.5707467445151835, z=0.0)
geometry_msgs.msg.Point(x=-2.4350822894048143, y=-1.5844888101496437, z=0.0)
geometry_msgs.msg.Point(x=-2.455966612836132, y=-1.598230875784104, z=0.0)
geometry_msgs.msg.Point(x=-2.4768532250858435, y=-1.6119698896607062, z=0.0)
geometry_msgs.msg.Point(x=-2.497741363214484, y=-1.6257058517794505, z=0.0)
geometry_msgs.msg.Point(x=-2.5186302642825886, y=-1.6394410509587303, z=0.0)
geometry_msgs.msg.Point(x=-2.539507339788994, y=-1.6531937977456934, z=0.0)
geometry_msgs.msg.Point(x=-2.560351990368158, y=-1.6669961355978486, z=0.0)
geometry_msgs.msg.Point(x=-2.581177948930442, y=-1.6808267022101901, z=0.0)
geometry_msgs.msg.Point(x=-2.601991318991562, y=-1.694676342309144, z=0.0)
geometry_msgs.msg.Point(x=-2.622678041101576, y=-1.7087136655163633, z=0.0)
geometry_msgs.msg.Point(x=-2.643220949122533, y=-1.7229615600157828, z=0.0)
geometry_msgs.msg.Point(x=-2.6636845114391825, y=-1.7373223695559474, z=0.0)
geometry_msgs.msg.Point(x=-2.684058046899022, y=-1.751811352926147, z=0.0)
geometry_msgs.msg.Point(x=-2.7041473874083373, y=-1.7666909613021673, z=0.0)
geometry_msgs.msg.Point(x=-2.724092150889131, y=-1.781764356302169, z=0.0)
geometry_msgs.msg.Point(x=-2.7439049258425676, y=-1.7970109385606108, z=0.0)
geometry_msgs.msg.Point(x=-2.763492252184246, y=-1.8125459119366312, z=0.0)
geometry_msgs.msg.Point(x=-2.7829044839188235, y=-1.8282990859994968, z=0.0)
geometry_msgs.msg.Point(x=-2.8021820568379177, y=-1.844217054986693, z=0.0)
geometry_msgs.msg.Point(x=-2.821337940912425, y=-1.8602807454116075, z=0.0)
geometry_msgs.msg.Point(x=-2.840327885653405, y=-1.8765405112788969, z=0.0)
geometry_msgs.msg.Point(x=-2.8592243703099847, y=-1.8929093774896089, z=0.0)
geometry_msgs.msg.Point(x=-2.8780296837005572, y=-1.9093827664069565, z=0.0)
geometry_msgs.msg.Point(x=-2.8966904200626082, y=-1.9260194243697057, z=0.0)
geometry_msgs.msg.Point(x=-2.915287450979374, y=-1.9427262727631884, z=0.0)
geometry_msgs.msg.Point(x=-2.9338039917826357, y=-1.9595239109529459, z=0.0)
geometry_msgs.msg.Point(x=-2.9522236392739067, y=-1.9764268347888034, z=0.0)
geometry_msgs.msg.Point(x=-2.9706100988984723, y=-1.9933656167794922, z=0.0)
geometry_msgs.msg.Point(x=-2.988927512501501, y=-2.010379929777166, z=0.0)
geometry_msgs.msg.Point(x=-3.007190757402551, y=-2.027452226174141, z=0.0)
geometry_msgs.msg.Point(x=-3.0254368361656496, y=-2.0445420701787995, z=0.0)
geometry_msgs.msg.Point(x=-3.0436245500597146, y=-2.061695238159011, z=0.0)
geometry_msgs.msg.Point(x=-3.061779076087074, y=-2.0788819754756602, z=0.0)
geometry_msgs.msg.Point(x=-3.0799137656883566, y=-2.0960908380367798, z=0.0)
geometry_msgs.msg.Point(x=-3.098010689786147, y=-2.1133386105105885, z=0.0)
geometry_msgs.msg.Point(x=-3.116090829215718, y=-2.130604693531545, z=0.0)
geometry_msgs.msg.Point(x=-3.134149987810016, y=-2.147892901796972, z=0.0)
geometry_msgs.msg.Point(x=-3.1521854952809143, y=-2.165204761185798, z=0.0)
geometry_msgs.msg.Point(x=-3.1702137548269, y=-2.1825250129087337, z=0.0)
geometry_msgs.msg.Point(x=-3.18822065206788, y=-2.1998673898761396, z=0.0)
geometry_msgs.msg.Point(x=-3.2062134349287668, y=-2.217224262693371, z=0.0)
geometry_msgs.msg.Point(x=-3.2242031660317956, y=-2.23458418726846, z=0.0)
geometry_msgs.msg.Point(x=-3.2421730607087476, y=-2.251964711209091, z=0.0)
geometry_msgs.msg.Point(x=-3.260134181581858, y=-2.2693543904232953, z=0.0)
geometry_msgs.msg.Point(x=-3.2780895804089845, y=-2.2867494102137513, z=0.0)
geometry_msgs.msg.Point(x=-3.2960316277954824, y=-2.3041589258540327, z=0.0)
